Knjiga,Originalni naslov,Avtor(ji),Žanri
Knjiga 159,Death Masks,"Jim  Butcher, Jim  Butcher","Audiobook, Fantasy, Fiction, Magic, Mystery, Paranormal, Urban Fantasy"
Knjiga 160,Gregor the Overlander,"Suzanne Collins, Suzanne Collins","Adventure, Audiobook, Childrens, Fantasy, Fiction, Middle Grade, Young Adult"
Knjiga 161,The Wee Free Men,"Terry Pratchett, Terry Pratchett","Audiobook, Comedy, Fantasy, Fiction, Humor, Magic, Young Adult"
Knjiga 162,The Wee Free Men,"Terry Pratchett, Terry Pratchett","Audiobook, Comedy, Fantasy, Fiction, Humor, Magic, Young Adult"
Knjiga 163,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation","Lynne Truss, Lynne Truss","Education, Humor, Language, Linguistics, Nonfiction, Reference, Writing"
Knjiga 164,Boy Meets Boy,"David Levithan, David Levithan","Contemporary, Fiction, Gay, LGBT, Queer, Romance, Young Adult"
Knjiga 165,To the Nines,"Janet Evanovich, Janet Evanovich","Chick Lit, Comedy, Crime, Fiction, Humor, Mystery, Romance"
Knjiga 166,Persuader,"Lee Child, Lee Child","Action, Audiobook, Crime, Fiction, Mystery, Suspense, Thriller"
Knjiga 167,"Y: The Last Man, Vol. 1: Unmanned","Brian K. Vaughan, Pia Guerra, Brian K. Vaughan","Comic Book, Comics, Dystopia, Fiction, Graphic Novels, Graphic Novels Comics, Science Fiction"
Knjiga 168,The Da Vinci Code,"Dan    Brown, Dan    Brown","Adventure, Fiction, Historical Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 169,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,"Donald Miller, Donald Miller","Christian, Christianity, Faith, Memoir, Nonfiction, Religion, Spirituality"
Knjiga 170,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,"Donald Miller, Donald Miller","Christian, Christianity, Faith, Memoir, Nonfiction, Religion, Spirituality"
Knjiga 171,The Zombie Survival Guide: Complete Protection from the Living Dead,"Max Brooks, Max Brooks","Fantasy, Fiction, Horror, Humor, Post Apocalyptic, Science Fiction, Zombies"
Knjiga 172,Abhorsen,"Garth Nix, Garth Nix","Adventure, Audiobook, Fantasy, Fiction, High Fantasy, Magic, Young Adult"
Knjiga 173,Color: A Natural History of the Palette,"Victoria Finlay, Victoria Finlay","Art, Art History, History, Microhistory, Nonfiction, Science, Travel"
Knjiga 174,The Queen's Fool,"Philippa Gregory, Philippa Gregory","Adult, British Literature, Fiction, Historical, Historical Fiction, Romance, Tudor Period"
Knjiga 175,The Ice Princess,"Camilla Läckberg, Steven T. Murray, Camilla Läckberg","Crime, Fiction, Mystery, Mystery Thriller, Scandinavian Literature, Sweden, Thriller"
Knjiga 176,The Birth of Venus,"Sarah Dunant, Sarah Dunant","Art, Book Club, Fiction, Historical, Historical Fiction, Italy, Romance"
Knjiga 177,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World","Tracy Kidder, Tracy Kidder","Biography, Book Club, Medical, Medicine, Memoir, Nonfiction, Science"
Knjiga 178,The Field Guide,"Tony DiTerlizzi, Holly Black, Tony DiTerlizzi","Adventure, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 179,The Da Vinci Code,"Dan    Brown, Dan    Brown","Adventure, Fiction, Historical Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 180,Come Closer,"Sara Gran, Sara Gran","Audiobook, Fiction, Horror, Mystery, Novella, Paranormal, Thriller"
Knjiga 181,The Second Summer of the Sisterhood,"Ann Brashares, Ann Brashares","Chick Lit, Contemporary, Fiction, Realistic Fiction, Romance, Teen, Young Adult"
